EpRewMean,EpLenMean,KL,TotalRewardMean,EpRewSEM,EVAfter,EVBefore
-15055.282319412107,105.875,nan,-3377578.787028024,3829.878325336255,nan,nan
-16544.10560064424,110.0,nan,-3394122.8926286683,4264.956479307566,nan,nan
-15641.724218195974,105.875,nan,-3409764.616846864,2510.356102881399,nan,nan
-15033.606876185595,110.0,nan,-3424798.2237230497,3643.6939797650516,nan,nan
-10800.284003886696,110.0,nan,-3435598.5077269366,1353.286187316636,nan,nan
-20744.090644054257,110.0,nan,-3456342.5983709907,6054.76098180565,nan,nan
-18645.19113648707,110.0,nan,-3474987.789507478,4010.2508287819333,nan,nan
-16871.584336424632,110.0,nan,-3491859.3738439027,3280.438797327886,nan,nan
-18719.575788462116,110.0,nan,-3510578.949632365,3737.062669684312,nan,nan
-10266.42497971712,110.0,nan,-3520845.374612082,1438.2851938431638,nan,nan
-18438.56502295211,105.875,nan,-3539283.9396350337,5421.118924266443,nan,nan
-16203.140695329683,105.875,nan,-3555487.0803303635,3757.2455152601556,nan,nan
-20359.1152734873,110.0,nan,-3575846.1956038508,4350.610820588926,nan,nan
-24168.748242476096,102.08,nan,-3600014.943846327,5612.560220882056,nan,nan
-12446.089964754774,110.0,nan,-3612461.0338110817,1586.1763167533875,nan,nan
-14877.514541578106,102.08,nan,-3627338.5483526597,4014.408736029685,nan,nan
-7940.017856000567,110.0,nan,-3635278.56620866,1310.197715110028,nan,nan
-16078.604288257924,110.0,nan,-3651357.1704969183,4460.080598371728,nan,nan
-11688.435231690346,110.0,nan,-3663045.6057286086,2594.9396039421354,nan,nan
-17735.358322298463,110.0,nan,-3680780.964050907,5202.336505695314,nan,nan
-23782.97177224649,105.875,nan,-3704563.9358231537,5238.459927498573,nan,nan
-18055.139074990442,110.0,nan,-3722619.074898144,3903.2747786747345,nan,nan
-12888.112644006162,110.0,nan,-3735507.1875421503,2396.7817291985634,nan,nan
-29698.654755745985,110.0,nan,-3765205.8422978963,7758.149071021508,nan,nan
-12021.133704599923,110.0,nan,-3777226.976002496,2559.5008764503254,nan,nan
-13814.205412082214,110.0,nan,-3791041.1814145786,3187.213527412953,nan,nan
-9940.945549823073,110.0,nan,-3800982.1269644015,1606.8016145489753,nan,nan
-11671.26141199132,105.875,nan,-3812653.388376393,1787.3494878591614,nan,nan
-15832.9725230107,105.875,nan,-3828486.3608994037,3352.843066942789,nan,nan
-17827.843139995763,110.0,nan,-3846314.2040393995,3388.6031628349265,nan,nan
-12313.875566162316,110.0,nan,-3858628.0796055617,2033.6219053777838,nan,nan
-10200.36423425762,110.0,nan,-3868828.443839819,1692.7645294279234,nan,nan
-14342.718688141798,110.0,nan,-3883171.162527961,3289.0432679338205,nan,nan
-10081.069057971403,110.0,nan,-3893252.2315859324,1330.942284015608,nan,nan
-14170.821376489805,110.0,nan,-3907423.0529624224,2993.1116865434556,nan,nan
-18738.17541277867,110.0,nan,-3926161.228375201,3669.4835764886093,nan,nan
-12621.110341603058,110.0,nan,-3938782.338716804,2309.0496417243075,nan,nan
-16584.108738213425,110.0,nan,-3955366.4474550174,3592.8087570277457,nan,nan
-12496.868736394013,110.0,nan,-3967863.3161914116,1866.0194809918319,nan,nan
-21258.421116775946,110.0,nan,-3989121.7373081874,5091.055342283242,nan,nan
-11714.187697375508,110.0,nan,-4000835.925005563,2058.593761016593,nan,nan
-10856.359696578716,105.875,nan,-4011692.284702142,2517.6361718702715,nan,nan
-12805.179679435369,110.0,nan,-4024497.464381577,2613.773011825754,nan,nan
-20094.938311605154,110.0,nan,-4044592.402693182,4649.404719771201,nan,nan
-19128.768287125014,110.0,nan,-4063721.1709803073,5254.322350741826,nan,nan
-18310.557340989842,110.0,nan,-4082031.728321297,3908.778570865793,nan,nan
-9784.684459762346,110.0,nan,-4091816.4127810593,1185.6484913329582,nan,nan
-23607.392437819693,110.0,nan,-4115423.805218879,4328.568373524563,nan,nan
-12510.232954148489,105.875,nan,-4127934.038173028,3038.4983556317543,nan,nan
-13181.235958150399,110.0,nan,-4141115.2741311784,2809.1743144258517,nan,nan
-16564.609407763084,110.0,nan,-4157679.8835389414,3811.8275939202654,nan,nan
-23053.73742504567,110.0,nan,-4180733.620963987,5013.405000409246,nan,nan
-11241.191745987324,110.0,nan,-4191974.812709974,2693.08025062081,nan,nan
-17581.205670600826,110.0,nan,-4209556.018380575,4716.937380003614,nan,nan
-15106.020085671507,110.0,nan,-4224662.038466247,1724.8831775001318,nan,nan
-19728.65079102528,110.0,nan,-4244390.6892572725,3926.930476563846,nan,nan
-20975.450822080125,105.875,nan,-4265366.140079353,4049.8255547204526,nan,nan
-17617.523825710432,110.0,nan,-4282983.663905064,2488.0216241514,nan,nan
-13915.000967791897,110.0,nan,-4296898.664872856,4266.5074767895085,nan,nan
-11147.604495332016,105.875,nan,-4308046.2693681875,2201.9534658549255,nan,nan
-13180.550332707877,110.0,nan,-4321226.819700896,2660.497437145835,nan,nan
-16343.4309793284,110.0,nan,-4337570.250680224,3539.075035637012,nan,nan
-18684.559720829802,110.0,nan,-4356254.810401054,3459.748852884225,nan,nan
-16347.085761425265,110.0,nan,-4372601.896162479,3570.205580067915,nan,nan
-14611.536210441102,110.0,nan,-4387213.43237292,2406.791697314161,nan,nan
-11858.06302633066,110.0,nan,-4399071.495399251,1768.0359237175835,nan,nan
-13036.218433696478,110.0,nan,-4412107.713832947,2829.3418435135663,nan,nan
-17587.348874180087,110.0,nan,-4429695.062707127,5562.036408411607,nan,nan
-11953.507168008236,110.0,nan,-4441648.569875135,1228.897084898474,nan,nan
-21510.645480898304,110.0,nan,-4463159.215356033,4638.553024491468,nan,nan
-14054.29491742423,110.0,nan,-4477213.5102734575,3300.7744283025495,nan,nan
-10937.757280839089,110.0,nan,-4488151.267554296,2444.9888346264333,nan,nan
-14956.93839634413,105.875,nan,-4503108.20595064,2263.904703168358,nan,nan
-12556.89012507179,110.0,nan,-4515665.096075712,1736.4754950552929,nan,nan
-15367.183716341484,105.875,nan,-4531032.279792054,2706.4488970375032,nan,nan
-14655.682369850474,110.0,nan,-4545687.962161904,2298.8781999746593,nan,nan
-13485.112664562397,110.0,nan,-4559173.074826467,3172.574147782129,nan,nan
-10316.868873092992,110.0,nan,-4569489.94369956,1530.2091783812336,nan,nan
-11824.55277140105,110.0,nan,-4581314.496470961,1436.7331638289052,nan,nan
-13290.935350466558,110.0,nan,-4594605.431821427,1871.0303400276784,nan,nan
-13571.065315620073,110.0,nan,-4608176.497137047,2133.3219091448664,nan,nan
-22407.586607359135,102.08,nan,-4630584.083744407,4600.598969352716,nan,nan
-12267.27262193714,105.875,nan,-4642851.356366344,2280.7641697862673,nan,nan
-16335.495791280287,110.0,nan,-4659186.852157624,2439.8732503422752,nan,nan
-8825.059487398335,110.0,nan,-4668011.911645023,1922.9632547500673,nan,nan
-14915.353737097348,110.0,nan,-4682927.26538212,2061.8911104377894,nan,nan
-17008.117248101746,110.0,nan,-4699935.3826302225,3694.423154891841,nan,nan
-14556.547080674753,110.0,nan,-4714491.929710898,1824.5132751745152,nan,nan
-12848.833346357093,110.0,nan,-4727340.763057254,3475.8516983711284,nan,nan
-16893.788165108912,110.0,nan,-4744234.5512223635,4051.48289744284,nan,nan
-19430.17762000909,110.0,nan,-4763664.728842373,5305.772893834892,nan,nan
-12731.182355988332,110.0,nan,-4776395.911198362,1697.3590200210715,nan,nan
-11825.715514693875,110.0,nan,-4788221.626713056,1721.7183701572199,nan,nan
-14584.42277790683,110.0,nan,-4802806.049490963,2128.504392848756,nan,nan
-13412.97194316314,110.0,nan,-4816219.021434126,1298.4660904219386,nan,nan
-25816.242627676373,110.0,nan,-4842035.264061803,6798.986361716347,nan,nan
-14452.525098686694,110.0,nan,-4856487.78916049,2007.5409761916976,nan,nan
-18662.102760409656,110.0,nan,-4875149.8919209,4431.288938357862,nan,nan
-13730.178954793691,110.0,nan,-4888880.070875694,2212.5725455185857,nan,nan
-18734.345121541053,110.0,nan,-4907614.415997235,4046.1668703388295,nan,nan
-20167.291496297552,110.0,nan,-4927781.707493532,4546.089950133823,nan,nan
-20103.9317671749,110.0,nan,-4947885.639260707,3780.2052929445817,nan,nan
-11529.735781785372,105.875,nan,-4959415.3750424925,1693.740109408401,nan,nan
-13303.626084184722,110.0,nan,-4972719.001126677,2084.8542061498997,nan,nan
